Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
,,38111-74/2011/5,102.6,MHz,RADIO CENTER d.o.o.,GOLNIK 1,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2018-04-11
,,38111-75/2011/2,101.5,MHz,RADIO CENTER d.o.o.,NOVA GORICA 1,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2018-08-05
,,38111-75/2011/2,104.9,MHz,RADIO CENTER d.o.o.,NOVA GORICA 2,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2018-08-05
,,38111-76/2011/3,96.5,MHz,RTV SLOVENIJA,ČRNOMELJ,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2014-01-25
,,38111-77/2011/3,99.1,MHz,RTV SLOVENIJA,ČRNOMELJ,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2014-01-25
,,38111-80/2011/2,98.2,MHz,RADIO TEDNIK Ptuj d.o.o.,PTUJ,"[{u'Program': u'RADIO PTUJ', u'Timesharing': None}]",2022-02-12
,,38111-81/2011/2,101.1,MHz,RADIO OGNJIŠČE d.o.o. Koper,AJDOVŠČINA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2018-03-19
,,38111-81/2011/2,107.5,MHz,RADIO OGNJIŠČE d.o.o. Koper,SKALNICA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2018-03-19
,,38111-81/2011/2,95.1,MHz,RADIO OGNJIŠČE d.o.o. Koper,MIREN,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2018-03-19
,,38111-81/2011/2,93.2,MHz,RADIO OGNJIŠČE d.o.o. Koper,DORNBERK 2,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2018-03-19
,,38111-81/2011/2,93.2,MHz,RADIO OGNJIŠČE d.o.o. Koper,TOMAJ,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2018-03-19
